PROJNUM,Total_Terrain_Types,Terrain_Type_List
20020788,2,"riparian, upland"
20020815,2,"instream, riparian"
20020817,2,"riparian, upland"
20020820,2,"passage, road"
20020821,2,"instream, upland"
20020826,2,"passage, road"
20020843,2,"riparian, upland"
20020845,2,"passage, road"
20020847,2,"instream, riparian"
20020856,2,"instream, riparian"
20020857,2,"riparian, upland"
20020860,5,"instream, riparian, passage, road, upland"
20020861,5,"instream, riparian, passage, road, upland"
20020867,2,"passage, road"
20030003,2,"instream, passage"
20030006,2,"instream, passage"
20030007,2,"instream, passage"
20030008,2,"instream, passage"
20030068,2,"passage, road"
20030160,2,"passage, road"
20030161,2,"passage, road"
20030201,2,"riparian, upland"
20030202,2,"riparian, upland"
20030210,2,"passage, road"
20030212,2,"passage, road"
20030213,2,"passage, road"
20030215,2,"passage, road"
20030230,2,"passage, road"
20030238,2,"passage, road"
20030242,2,"passage, road"
20030244,3,"instream, passage, road"
20030248,2,"passage, road"
20030253,2,"passage, road"
20030254,3,"riparian, passage, road"
20030255,2,"passage, road"
20030280,2,"passage, road"
20030282,2,"riparian, road"
20030283,2,"riparian, road"
20030289,2,"instream, road"
20030291,2,"riparian, upland"
20030299,3,"instream, riparian, passage"
20030302,2,"riparian, upland"
20030303,2,"riparian, upland"
20030317,2,"instream, riparian"
20030359,2,"passage, road"
20030362,2,"passage, road"
20030366,2,"passage, road"
20030367,2,"passage, road"
20030368,2,"passage, road"
20030380,2,"passage, road"
20030381,2,"passage, road"
20030399,3,"instream, passage, road"
20030400,2,"instream, riparian"
20030469,2,"passage, road"
20030475,2,"passage, road"
20030485,3,"instream, riparian, road"
20030528,2,"passage, road"
20030533,2,"riparian, upland"
20030534,2,"riparian, wetland"
20030535,2,"riparian, upland"
20030536,2,"riparian, wetland"
20030537,3,"instream, riparian, wetland"
20030538,2,"instream, riparian"
20030539,3,"instream, riparian, upland"
20030540,2,"riparian, upland"
20030573,2,"instream, riparian"
20030586,2,"instream, passage"
20030670,2,"passage, road"
20030683,2,"riparian, upland"
20030684,2,"road, upland"
20030702,2,"instream, riparian"
20030703,2,"instream, riparian"
20030704,2,"riparian, passage"
20030708,3,"instream, riparian, wetland"
20030712,2,"riparian, wetland"
20030715,3,"instream, riparian, upland"
20030716,4,"instream, riparian, road, upland"
20030720,2,"instream, riparian"
20030721,2,"instream, riparian"
20030723,2,"riparian, passage"
20030725,2,"riparian, upland"
20030728,2,"riparian, upland"
20030735,2,"riparian, upland"
20030768,2,"riparian, upland"
