PROJNUM,ActivityType
19972031,Combined
19972032,Road
19972033,Road
19972034,Road
19972035,Road
19972036,Road
19972037,Road
19972038,Road
19972039,Road
19972040,Road
19972041,Road
19972042,Fish Passage
19972043,Road
19972044,Road
19972045,Road
19972046,Road
19972047,Road
19972048,Road
19972049,Combined
19972050,Road
19972051,Road
19972052,Road
19972053,Road
19972054,Road
19972055,Road
19972056,Road
19972057,Road
19972058,Road
19972059,Road
19972060,Road
19972061,Fish Passage
19972062,Road
19972063,Road
19972064,Road
19972065,Road
19972066,Road
19972067,Road
19972068,Road
19972069,Road
19972070,Road
19972071,Road
19972072,Road
19972073,Road
19972074,Road
19972075,Road
19972076,Road
19972077,Road
19972078,Combined
19972079,Road
19972080,Road
19972081,Road
19972082,Road
19972083,Road
19972084,Road
19972085,Fish Passage
19972086,Road
19972087,Road
19972088,Road
19972089,Road
19972090,Road
19972091,Road
19972092,Road
19972093,Road
19972094,Road
19972095,Road
19972096,Road
19972097,Road
19972098,Road
19972099,Road
19972100,Road
19972101,Road
19972103,Combined
19972104,Road
19972105,Road
19972106,Fish Passage
19972107,Combined
19972108,Combined
19972109,Road
19972110,Road
19972111,Road
19972112,Road
19972113,Road
19972114,Road
19972115,Road
19972116,Road
19972117,Road
19972118,Road
19972119,Road
19972120,Road
19972122,Road
19972123,Road
19972124,Road
19972125,Road
19972126,Road
19972128,Road
19972129,Road
19972132,Road
19972134,Road
19972135,Road
19972136,Road
19972137,Road
19972138,Road
19972139,Fish Passage
19972141,Road
19972143,Fish Passage
19972144,Fish Passage
19972145,Combined
19972146,Fish Passage
19972147,Combined
19972148,Road
19972149,Road
19972150,Road
19972151,Combined
19972152,Road
19972153,Road
19972154,Road
19972155,Fish Passage
19972156,Fish Passage
19972156,Road
19972157,Road
19972158,Road
19972159,Road
19972160,Road
19972161,Road
19972162,Road
19972163,Road
19972164,Road
19972165,Road
19972166,Road
19972167,Road
19972168,Road
19972169,Road
19972170,Road
19972171,Road
19972172,Road
19972173,Road
19972174,Road
19972175,Road
19972176,Road
19972177,Road
19972178,Combined
19972179,Road
19972181,Road
19980001,Road
19980002,Fish Passage
19980003,Road
19980004,Instream
19980005,Road
